# This file was generated automatically from the data of the 
# models of the accelerators in the pymodels repository by the 
# function: 
#    siriuspy.optics.lattice_survey.generate_model_static_table.
#
# If any model change, please, run the script
# again and copy the generated file to replace this one.


#Magnets data 
#-----------


# Storage Ring (SI)
#---------------------------------------------------------
#Name                 Position @ center [m]
#---------------------------------------------------------
SI-10C2:MA-CV-1            243.6022      
SI-10C2:MA-SDB3            243.6022      
SI-10C2:MA-Q3              243.9472      
SI-10C2:MA-CH              244.3522      
SI-10C2:MA-SFB2            244.3522      
SI-10C2:MA-Q4              244.7872      
SI-10C2:MA-CV-2            245.1622      
SI-10C2:MA-FCH             245.4792      
SI-10C2:MA-FCV             245.4792      
SI-10C2:MA-QS              245.4792      
SI-10BC:MA-BC              246.2352      
SI-10C3:MA-Q4              247.6832      
SI-10C3:MA-CH              248.1182      
SI-10C3:MA-CV-1            248.1182      
SI-10C3:MA-SFP2            248.1182      
SI-10C3:MA-FCH             248.2912      
SI-10C3:MA-FCV             248.2912      
SI-10C3:MA-Q3              248.5232      
SI-10C3:MA-CV-2            248.8682      
SI-10C3:MA-QS              248.8682      
SI-10C3:MA-SDP3            248.8682      
SI-10C3:MA-B2              250.0187      
SI-10C4:MA-SDP2            251.0492      
SI-10C4:MA-Q2              251.3942      
SI-10C4:MA-SFP1            251.7992      
SI-10C4:MA-Q1              252.2342      
SI-10C4:MA-CH              252.5792      
SI-10C4:MA-CV              252.5792      
SI-10C4:MA-SDP1            252.5792      
SI-10C4:MA-B1              253.6782      
SI-11M1:MA-QDP1            254.4322      
SI-11M1:MA-QS              254.7272      
SI-11M1:MA-SDP0            254.7272      
SI-11M1:MA-QFP             255.1922      
SI-11M1:MA-CH              255.5672      
SI-11M1:MA-CV              255.5672      
SI-11M1:MA-SFP0            255.5672      
SI-11M1:MA-FCH             255.7332      
SI-11M1:MA-FCV             255.7332      
SI-11M1:MA-QDP2            255.8972      
SI-11M2:MA-QDP2            262.4927      
SI-11M2:MA-FCH             262.6567      
SI-11M2:MA-FCV             262.6567      
SI-11M2:MA-CH              262.8227      
SI-11M2:MA-CV              262.8227      
SI-11M2:MA-SFP0            262.8227      
SI-11M2:MA-QFP             263.1977      
SI-11M2:MA-QS              263.6627      
SI-11M2:MA-SDP0            263.6627      
SI-11M2:MA-QDP1            263.9577      
SI-11C1:MA-B1              264.7117      
SI-11C1:MA-CH              265.8107      
SI-11C1:MA-CV              265.8107      
SI-11C1:MA-SDP1            265.8107      
SI-11C1:MA-Q1              266.1557      
SI-11C1:MA-SFP1            266.5907      
SI-11C1:MA-Q2              266.9957      
SI-11C1:MA-QS              267.3407      
SI-11C1:MA-SDP2            267.3407      
SI-11C2:MA-B2              268.3712      
SI-11C2:MA-CV-1            269.5217      
SI-11C2:MA-SDP3            269.5217      
SI-11C2:MA-Q3              269.8667      
SI-11C2:MA-CH              270.2717      
SI-11C2:MA-SFP2            270.2717      
SI-11C2:MA-Q4              270.7067      
SI-11C2:MA-CV-2            271.0817      
SI-11C2:MA-FCH             271.3987      
SI-11C2:MA-FCV             271.3987      
SI-11C2:MA-QS              271.3987      
SI-11BC:MA-BC              272.1547      
SI-11C3:MA-Q4              273.6027      
SI-11C3:MA-CH              274.0377      
SI-11C3:MA-CV-1            274.0377      
SI-11C3:MA-SFB2            274.0377      
SI-11C3:MA-FCH             274.2107      
SI-11C3:MA-FCV             274.2107      
SI-11C3:MA-Q3              274.4427      
SI-11C3:MA-CV-2            274.7877      
SI-11C3:MA-QS              274.7877      
SI-11C3:MA-SDB3            274.7877      
SI-11C3:MA-B2              275.9382      
SI-11C4:MA-SDB2            276.9687      
SI-11C4:MA-Q2              277.3137      
SI-11C4:MA-SFB1            277.7187      
SI-11C4:MA-Q1              278.1537      
SI-11C4:MA-CH              278.4987      
SI-11C4:MA-CV              278.4987      
SI-11C4:MA-SDB1            278.4987      
SI-11C4:MA-B1              279.5977      
SI-12M1:MA-QDB1            280.3517      
SI-12M1:MA-QS              280.6467      
SI-12M1:MA-SDB0            280.6467      
SI-12M1:MA-QFB             281.1117      
SI-12M1:MA-CH              281.4867      
SI-12M1:MA-CV              281.4867      
